/* DATA DESCRIPTION:
Citation:	König-Langlo, Gert (2015): Radiosonde PS92/37333 during POLARSTERN cruise PS92 (ARK-XXIX/1) on 2015-05-28 10:45h. Alfred Wegener Institute, Helmholtz Center for Polar and Marine Research, Bremerhaven, doi:10.1594/PANGAEA.849528, 
	In: König-Langlo, G (2015): Upper air soundings during POLARSTERN cruise PS92 (ARK-XXIX/1 TRANSSIZ). Alfred Wegener Institute, Helmholtz Center for Polar and Marine Research, Bremerhaven, doi:10.1594/PANGAEA.849656
Project(s):	Meteorological Long-Term Observations @ AWI (AWI_Meteo) (URI: http://www.awi.de/en/science/long-term-observations.html)
Coverage:	LATITUDE: 81.180000 * LONGITUDE: 19.120000
	DATE/TIME START: 2015-05-28T10:45:00 * DATE/TIME END: 2015-05-28T10:45:00
	MINIMUM ALTITUDE: 10 m * MAXIMUM ALTITUDE: 27037 m
Event(s):	PS92/37333 * LATITUDE: 81.180000 * LONGITUDE: 19.120000 * DATE/TIME: 2015-05-28T10:45:00 * LOCATION: Arctic Ocean * CAMPAIGN: PS92 (ARK-XXIX/1) (URI: doi:10.2312/BzPM_0694_2016) * BASIS: Polarstern (URI: http://www.awi.de/en/expedition/ships/polarstern.html) * DEVICE: Radiosonde (RADIO)
Comment:	Height of tropopause 9467 m, precipitable water content 0.6852 cm
Parameter(s):	ALTITUDE [m] (Altitude) * GEOCODE * PI: König-Langlo, Gert (http://orcid.org/0000-0002-6100-4107, gert.koenig-langlo@awi.de, http://www.awi.de/en/about-us/organisation/staff/gert-koenig-langlo.html)
	Pressure, at given altitude [hPa] (PPPP) * PI: König-Langlo, Gert (http://orcid.org/0000-0002-6100-4107, gert.koenig-langlo@awi.de, http://www.awi.de/en/about-us/organisation/staff/gert-koenig-langlo.html)
	Temperature, air [°C] (TTT) * PI: König-Langlo, Gert (http://orcid.org/0000-0002-6100-4107, gert.koenig-langlo@awi.de, http://www.awi.de/en/about-us/organisation/staff/gert-koenig-langlo.html)
	Humidity, relative [%] (RH) * PI: König-Langlo, Gert (http://orcid.org/0000-0002-6100-4107, gert.koenig-langlo@awi.de, http://www.awi.de/en/about-us/organisation/staff/gert-koenig-langlo.html)
	Wind direction [deg] (dd) * PI: König-Langlo, Gert (http://orcid.org/0000-0002-6100-4107, gert.koenig-langlo@awi.de, http://www.awi.de/en/about-us/organisation/staff/gert-koenig-langlo.html)
	Wind speed [m/s] (ff) * PI: König-Langlo, Gert (http://orcid.org/0000-0002-6100-4107, gert.koenig-langlo@awi.de, http://www.awi.de/en/about-us/organisation/staff/gert-koenig-langlo.html)
License:	Creative Commons Attribution 3.0 Unported (CC-BY)
Size:	5580 data points
*/
Altitude [m]	PPPP [hPa]	TTT [°C]	RH [%]	dd [deg]	ff [m/s]
12979	164.5	-44.6	1	360	0.5
12999	164.0	-44.5	1	82	0.6
13024	163.4	-44.4	1	85	0.6
13044	162.9	-44.3	1	101	0.6
13069	162.3	-44.3	1	122	0.6
13089	161.8	-44.3	1	136	0.7
13114	161.2	-44.0	1	139	0.8
13135	160.7	-44.0	1	137	0.8
13156	160.2	-44.1	1	137	0.6
13177	159.7	-44.2	1	360	0.5
13198	159.2	-44.1	1	0	0.0
13219	158.7	-43.9	1	225	0.6
13241	158.2	-43.8	1	232	0.9
13266	157.6	-43.9	1	227	1.0
13287	157.1	-44.0	1	215	1.0
13309	156.6	-43.9	1	198	1.1
13330	156.1	-43.8	1	179	1.2
13352	155.6	-44.1	1	166	1.4
13373	155.1	-43.5	1	159	1.5
13395	154.6	-43.7	1	156	1.7
13417	154.1	-43.9	1	157	1.8
13439	153.6	-44.1	1	160	1.9
13461	153.1	-44.0	1	165	2.0
13487	152.5	-44.1	1	170	2.1
13509	152.0	-44.1	1	175	2.1
13531	151.5	-43.9	1	179	2.1
13553	151.0	-43.8	1	183	2.1
13576	150.5	-43.7	1	186	1.9
13598	150.0	-43.9	1	189	1.8
13620	149.5	-44.2	1	192	1.6
13643	149.0	-44.2	1	191	1.5
13665	148.5	-44.2	1	189	1.3
13688	148.0	-44.1	1	182	1.2
13711	147.5	-44.3	1	175	1.0
13734	147.0	-43.9	1	168	0.9
13756	146.5	-44.1	1	164	0.8
13779	146.0	-44.1	1	160	0.6
13802	145.5	-44.2	1	154	0.5
13825	145.0	-44.1	1	0	0.0
13849	144.5	-44.1	1	110	0.5
13867	144.1	-43.9	1	96	0.8
13895	143.5	-44.1	1	91	1.1
13914	143.1	-44.0	1	91	1.4
13937	142.6	-43.9	1	92	1.6
13961	142.1	-44.0	1	96	1.6
13985	141.6	-44.0	1	101	1.6
14008	141.1	-44.0	1	109	1.5
14032	140.6	-44.0	1	116	1.4
14056	140.1	-44.1	1	123	1.4
14080	139.6	-44.1	1	126	1.4
14099	139.2	-44.2	1	127	1.5
14124	138.7	-44.2	1	129	1.5
14148	138.2	-43.8	1	133	1.5
14172	137.7	-44.0	1	142	1.5
14192	137.3	-44.2	1	156	1.4
14221	136.7	-44.4	1	174	1.3
14241	136.3	-44.4	1	192	1.4
14265	135.8	-44.5	1	205	1.5
14290	135.3	-44.6	1	213	1.7
14315	134.8	-44.2	1	216	1.7
14335	134.4	-44.4	1	215	1.8
14360	133.9	-44.5	1	213	1.7
14385	133.4	-44.6	1	208	1.7
14410	132.9	-44.3	1	202	1.6
14430	132.5	-44.5	1	197	1.6
14455	132.0	-44.6	1	194	1.6
14481	131.5	-44.4	1	195	1.6
14501	131.1	-44.5	1	198	1.7
14527	130.6	-44.6	1	201	1.8
14553	130.1	-44.8	1	202	1.9
14573	129.7	-44.7	1	201	1.9
14599	129.2	-44.5	1	196	2.0
14625	128.7	-44.5	1	191	2.0
14646	128.3	-44.5	1	186	2.0
14667	127.9	-44.5	1	185	1.9
14693	127.4	-44.4	1	187	1.6
14714	127.0	-44.4	1	193	1.2
14741	126.5	-44.4	1	204	0.8
14762	126.1	-44.5	1	0	0.0
14788	125.6	-44.3	1	0	0.0
14810	125.2	-44.3	1	62	0.5
14831	124.8	-44.4	1	68	1.1
14858	124.3	-44.4	1	71	1.6
14880	123.9	-44.4	1	74	2.0
14901	123.5	-44.2	1	76	2.3
14929	123.0	-44.1	1	78	2.4
14950	122.6	-44.3	1	80	2.5
14972	122.2	-44.5	1	81	2.5
14994	121.8	-44.6	1	81	2.6
15022	121.3	-44.6	1	80	2.8
15044	120.9	-44.6	1	81	2.9
15066	120.5	-44.6	1	82	3.0
15088	120.1	-44.8	1	86	3.0
15116	119.6	-44.7	1	92	3.0
15139	119.2	-44.6	1	100	3.0
15161	118.8	-44.9	1	109	3.0
15184	118.4	-45.0	1	119	3.0
15206	118.0	-44.4	1	127	3.0
15229	117.6	-44.3	1	134	3.0
15252	117.2	-44.6	1	140	3.0
15275	116.8	-44.7	1	144	3.0
15298	116.4	-44.8	1	148	3.0
15321	116.0	-44.9	1	150	3.0
15344	115.6	-45.1	1	150	3.0
15367	115.2	-45.0	1	150	3.1
15390	114.8	-45.0	1	150	3.1
15414	114.4	-45.0	1	151	3.0
15437	114.0	-45.0	1	153	2.8
15461	113.6	-44.8	1	156	2.5
15484	113.2	-44.7	1	161	2.1
15508	112.8	-45.0	1	166	1.7
15532	112.4	-44.9	1	169	1.2
15550	112.1	-45.1	1	170	0.8
15573	111.7	-45.0	1	360	0.5
15597	111.3	-44.9	1	0	0.0
15621	110.9	-45.1	1	0	0.0
15646	110.5	-44.8	1	0	0.0
15670	110.1	-44.7	1	360	0.5
15688	109.8	-44.6	1	116	0.6
15713	109.4	-44.8	1	118	0.8
15737	109.0	-44.7	1	122	0.9
15756	108.7	-44.8	1	126	1.1
15780	108.3	-44.8	1	132	1.2
15805	107.9	-44.9	1	139	1.3
15824	107.6	-44.7	1	148	1.4
15848	107.2	-44.6	1	156	1.6
15874	106.8	-44.8	1	163	1.7
15899	106.4	-44.9	1	169	1.9
15917	106.1	-44.7	1	174	2.1
15943	105.7	-44.8	1	179	2.2
15968	105.3	-45.0	1	184	2.2
15994	104.9	-45.0	1	190	2.1
16019	104.5	-44.9	1	196	2.0
16038	104.2	-44.7	1	200	1.8
16058	103.9	-45.0	1	202	1.6
16083	103.5	-44.9	1	198	1.4
16109	103.1	-44.7	1	187	1.3
16129	102.8	-44.8	1	172	1.4
16155	102.4	-45.0	1	159	1.6
16181	102.0	-44.9	1	151	1.8
16201	101.7	-44.9	1	149	2.1
16227	101.3	-44.6	1	150	2.3
16247	101.0	-44.8	1	152	2.4
16274	100.6	-44.4	1	154	2.5
16294	100.3	-44.7	1	155	2.5
16320	99.9	-44.8	1	156	2.5
16347	99.5	-44.7	1	154	2.4
16367	99.2	-44.8	1	150	2.2
16394	98.8	-44.5	1	140	2.1
16415	98.5	-44.8	1	128	2.2
16442	98.1	-44.8	1	117	2.4
16462	97.8	-44.5	1	109	2.8
16490	97.4	-44.6	1	105	3.2
16511	97.1	-44.5	1	103	3.6
16538	96.7	-44.4	1	104	3.8
16559	96.4	-44.5	1	107	3.9
16587	96.0	-44.3	1	111	3.8
16608	95.7	-44.5	1	118	3.7
16636	95.3	-44.6	1	125	3.6
16657	95.0	-44.4	1	134	3.4
16685	94.6	-44.4	1	143	3.2
16707	94.3	-44.6	1	150	3.0
16728	94.0	-44.8	1	156	2.7
16756	93.6	-44.5	1	160	2.4
16778	93.3	-44.5	1	164	2.1
16807	92.9	-44.2	1	169	1.9
16828	92.6	-44.3	1	175	1.9
16850	92.3	-44.4	1	179	2.0
16879	91.9	-44.1	1	179	2.1
16901	91.6	-44.2	1	173	2.2
16923	91.3	-44.0	1	165	2.2
16945	91.0	-44.0	1	157	2.3
16975	90.6	-44.1	1	152	2.4
16997	90.3	-44.1	1	151	2.3
17020	90.0	-43.6	1	154	2.2
17042	89.7	-43.2	1	161	1.9
17065	89.4	-43.3	1	172	1.6
17095	89.0	-43.3	1	186	1.4
17118	88.7	-43.6	1	201	1.2
17140	88.4	-43.8	1	213	1.0
17163	88.1	-43.3	1	218	0.8
17186	87.8	-43.4	1	211	0.6
17209	87.5	-43.7	1	360	0.5
17240	87.1	-43.7	1	136	0.7
17263	86.8	-43.8	1	120	1.1
17286	86.5	-43.7	1	116	1.6
17310	86.2	-43.2	1	117	2.0
17333	85.9	-43.4	1	121	2.2
17357	85.6	-43.4	1	127	2.2
17380	85.3	-43.4	1	135	2.1
17404	85.0	-43.4	1	143	1.9
17428	84.7	-43.5	1	150	1.7
17452	84.4	-43.6	1	155	1.6
17476	84.1	-43.7	1	156	1.4
17500	83.8	-43.7	1	153	1.2
17524	83.5	-43.9	1	146	1.2
17548	83.2	-43.7	1	139	1.2
17572	82.9	-43.8	1	133	1.3
17597	82.6	-43.7	1	129	1.4
17621	82.3	-43.9	1	129	1.6
17646	82.0	-44.1	1	130	1.8
17670	81.7	-44.1	1	132	2.0
17695	81.4	-43.8	1	134	2.0
17720	81.1	-44.1	1	137	1.9
17745	80.8	-44.1	1	139	1.6
17770	80.5	-43.8	1	143	1.2
17795	80.2	-43.7	1	146	0.9
17820	79.9	-43.6	1	147	0.6
17845	79.6	-43.7	1	0	0.0
17871	79.3	-43.6	1	0	0.0
17896	79.0	-43.5	1	0	0.0
17922	78.7	-43.3	1	87	0.6
17947	78.4	-43.3	1	80	0.8
17973	78.1	-43.5	1	74	1.0
17990	77.9	-43.7	1	68	1.1
18016	77.6	-43.8	1	64	1.3
18042	77.3	-43.7	1	61	1.5
18069	77.0	-43.8	1	61	1.7
18095	76.7	-43.7	1	62	1.9
18121	76.4	-43.7	1	66	2.0
18148	76.1	-43.8	1	70	2.1
18165	75.9	-44.0	1	77	2.1
18192	75.6	-44.3	1	85	2.1
18218	75.3	-44.2	1	93	2.1
18245	75.0	-44.3	1	100	2.0
18272	74.7	-44.4	1	106	1.9
18290	74.5	-44.3	1	110	1.8
18317	74.2	-44.1	1	112	1.5
18344	73.9	-44.1	1	111	1.3
18362	73.7	-44.3	1	103	1.1
18390	73.4	-44.0	1	89	1.0
18417	73.1	-44.0	1	71	1.0
18436	72.9	-44.1	1	58	1.2
18463	72.6	-43.9	1	53	1.5
18491	72.3	-44.0	1	53	1.7
18510	72.1	-43.9	1	57	1.9
18538	71.8	-43.8	1	64	2.1
18557	71.6	-43.7	1	72	2.3
18585	71.3	-43.9	1	78	2.3
18613	71.0	-43.9	1	84	2.3
18632	70.8	-44.0	1	89	2.2
18661	70.5	-44.0	1	92	2.1
18680	70.3	-44.1	1	94	2.0
18708	70.0	-44.3	1	95	1.8
18727	69.8	-44.3	1	97	1.8
18756	69.5	-44.2	1	100	1.8
18785	69.2	-44.2	1	103	1.9
18805	69.0	-44.1	1	106	2.0
18824	68.8	-44.2	1	108	2.3
18854	68.5	-44.2	1	109	2.5
18883	68.2	-44.3	1	109	2.6
18903	68.0	-44.2	1	109	2.7
18932	67.7	-44.1	1	108	2.7
18952	67.5	-43.7	1	109	2.8
18982	67.2	-43.7	1	111	2.8
19002	67.0	-43.9	1	114	2.9
19032	66.7	-44.1	1	117	3.0
19052	66.5	-44.0	1	120	3.1
19073	66.3	-43.6	1	122	3.1
19103	66.0	-43.8	1	124	3.1
19124	65.8	-44.1	1	128	3.2
19154	65.5	-44.3	1	132	3.4
19175	65.3	-44.3	1	137	3.7
19206	65.0	-44.3	1	142	4.1
19226	64.8	-44.4	1	146	4.4
19247	64.6	-44.0	1	150	4.5
19278	64.3	-43.7	1	152	4.5
19299	64.1	-43.9	1	154	4.2
19320	63.9	-44.2	1	155	3.8
19352	63.6	-44.2	1	153	3.2
19373	63.4	-44.2	1	149	2.4
19405	63.1	-44.2	1	139	1.8
19426	62.9	-44.2	1	116	1.3
19447	62.7	-44.3	1	89	1.3
19469	62.5	-44.3	1	75	1.6
19501	62.2	-43.9	1	73	1.9
19523	62.0	-43.5	1	79	2.1
19544	61.8	-43.7	1	89	2.2
19566	61.6	-43.7	1	101	2.3
19599	61.3	-43.5	1	114	2.4
19621	61.1	-43.4	1	127	2.4
19643	60.9	-43.1	1	138	2.4
19676	60.6	-43.2	1	148	2.4
19699	60.4	-43.4	1	157	2.3
19721	60.2	-43.5	1	166	2.0
19743	60.0	-43.3	1	178	1.6
19766	59.8	-43.0	1	196	1.2
19800	59.5	-43.1	1	226	0.9
19822	59.3	-42.9	1	266	0.8
19845	59.1	-42.9	1	297	1.0
19868	58.9	-42.7	1	321	1.2
19891	58.7	-42.4	1	343	1.4
19914	58.5	-42.5	1	4	1.7
19949	58.2	-42.7	1	21	2.1
19972	58.0	-42.3	1	33	2.7
19996	57.8	-42.4	1	42	3.4
20019	57.6	-42.5	1	48	4.0
20042	57.4	-42.6	1	52	4.3
20066	57.2	-42.8	1	55	4.5
20090	57.0	-42.8	1	58	4.4
20113	56.8	-43.0	1	62	4.0
20137	56.6	-43.2	1	68	3.5
20161	56.4	-43.2	1	76	2.9
20185	56.2	-43.3	1	86	2.5
20209	56.0	-43.1	1	95	2.2
20233	55.8	-43.2	1	99	2.1
20257	55.6	-43.4	1	97	2.1
20294	55.3	-42.9	1	91	2.3
20318	55.1	-42.9	1	84	2.5
20343	54.9	-42.8	1	78	2.8
20367	54.7	-42.9	1	74	3.0
20392	54.5	-42.5	1	72	3.2
20417	54.3	-42.4	1	69	3.4
20442	54.1	-42.5	1	66	3.6
20467	53.9	-42.5	1	63	4.0
20492	53.7	-42.5	1	62	4.4
20517	53.5	-42.4	1	62	4.9
20542	53.3	-42.2	1	63	5.3
20568	53.1	-42.4	1	65	5.7
20593	52.9	-42.2	1	68	6.0
20619	52.7	-42.2	1	71	6.2
20645	52.5	-42.3	1	73	6.3
20671	52.3	-42.5	1	74	6.2
20696	52.1	-42.5	1	76	5.9
20722	51.9	-42.6	1	77	5.5
20749	51.7	-42.6	1	79	5.0
20775	51.5	-42.6	1	82	4.6
20801	51.3	-42.0	1	85	4.3
20827	51.1	-41.7	1	88	4.0
20854	50.9	-41.7	1	89	3.9
20881	50.7	-41.4	1	90	3.7
20908	50.5	-41.7	1	91	3.6
20935	50.3	-41.7	1	93	3.5
20962	50.1	-41.6	1	96	3.5
20975	50.0	-41.6	1	99	3.6
21002	49.8	-41.8	1	103	3.8
21030	49.6	-41.8	1	107	4.1
21057	49.4	-41.9	1	110	4.5
21084	49.2	-41.8	1	113	4.8
21112	49.0	-41.9	1	115	5.2
21140	48.8	-41.9	1	116	5.6
21168	48.6	-41.9	1	116	6.0
21195	48.4	-41.6	1	116	6.4
21210	48.3	-41.6	1	116	6.8
21238	48.1	-41.3	1	116	7.2
21266	47.9	-41.6	1	117	7.3
21294	47.7	-41.9	1	118	7.4
21323	47.5	-42.3	1	120	7.3
21351	47.3	-42.5	1	123	7.0
21366	47.2	-42.4	1	125	6.7
21394	47.0	-42.6	1	128	6.4
21423	46.8	-42.6	1	129	6.2
21452	46.6	-42.3	1	129	6.0
21481	46.4	-42.4	1	128	5.9
21496	46.3	-42.2	1	126	5.8
21525	46.1	-42.1	1	124	5.5
21554	45.9	-41.7	1	122	5.0
21584	45.7	-41.6	1	119	4.4
21599	45.6	-41.5	1	115	3.7
21629	45.4	-41.5	1	108	3.1
21659	45.2	-41.7	1	98	2.7
21674	45.1	-41.7	1	85	2.7
21704	44.9	-41.6	1	76	2.9
21734	44.7	-41.7	1	71	3.3
21765	44.5	-41.6	1	71	3.7
21780	44.4	-41.4	1	74	4.0
21811	44.2	-41.2	1	78	4.3
21841	44.0	-41.3	1	84	4.6
21857	43.9	-41.4	1	89	5.1
21888	43.7	-41.3	1	94	5.6
21919	43.5	-41.3	1	98	6.0
21950	43.3	-41.4	1	101	6.4
21966	43.2	-41.7	1	105	6.5
21997	43.0	-41.8	1	108	6.4
22029	42.8	-41.9	1	112	6.1
22045	42.7	-41.7	1	116	5.8
22077	42.5	-41.8	1	120	5.6
22109	42.3	-41.9	1	123	5.5
22125	42.2	-42.1	1	126	5.5
22157	42.0	-42.3	1	129	5.4
22189	41.8	-42.3	1	130	5.2
22205	41.7	-42.3	1	131	4.9
22238	41.5	-42.1	1	130	4.5
22270	41.3	-42.1	1	128	4.2
22287	41.2	-41.7	1	125	4.1
22320	41.0	-41.8	1	122	4.0
22353	40.8	-41.8	1	119	4.1
22370	40.7	-42.0	1	115	4.1
22403	40.5	-41.6	1	110	4.1
22420	40.4	-41.7	1	103	4.2
22453	40.2	-41.9	1	97	4.4
22487	40.0	-42.1	1	93	4.6
22504	39.9	-42.2	1	92	4.9
22538	39.7	-41.9	1	94	5.1
22555	39.6	-41.8	1	98	5.2
22590	39.4	-41.5	1	103	5.4
22624	39.2	-41.6	1	108	5.6
22641	39.1	-41.8	1	114	5.8
22676	38.9	-42.0	1	119	5.9
22694	38.8	-42.1	1	124	5.9
22729	38.6	-42.0	1	128	5.8
22746	38.5	-42.0	1	132	5.6
22781	38.3	-41.9	1	136	5.4
22817	38.1	-42.0	1	138	5.2
22835	38.0	-42.0	1	140	5.1
22870	37.8	-42.1	1	140	5.0
22888	37.7	-42.3	1	140	4.9
22924	37.5	-42.1	1	138	4.7
22942	37.4	-41.7	1	135	4.4
22979	37.2	-41.8	1	131	4.1
22997	37.1	-41.8	1	127	3.9
23034	36.9	-42.0	1	124	3.8
23052	36.8	-42.1	1	122	3.8
23089	36.6	-42.3	1	121	3.9
23107	36.5	-42.7	1	120	3.9
23126	36.4	-42.0	1	118	4.0
23163	36.2	-42.2	1	114	4.0
23182	36.1	-41.9	1	111	4.1
23220	35.9	-41.9	1	109	4.1
23239	35.8	-42.2	1	110	4.2
23257	35.7	-42.2	1	112	4.2
23295	35.5	-42.2	1	117	4.2
23315	35.4	-42.3	1	121	4.2
23353	35.2	-41.6	1	124	4.1
23372	35.1	-41.7	1	125	4.0
23392	35.0	-41.7	1	122	3.8
23430	34.8	-41.8	1	118	3.7
23450	34.7	-41.7	1	113	3.5
23489	34.5	-41.9	1	110	3.3
23509	34.4	-42.1	1	111	3.1
23528	34.3	-42.3	1	115	2.7
23568	34.1	-41.5	1	120	2.4
23588	34.0	-41.7	1	124	2.2
23608	33.9	-42.0	1	122	2.1
23648	33.7	-42.3	1	117	2.2
23668	33.6	-42.3	1	111	2.5
23688	33.5	-42.2	1	106	2.8
23729	33.3	-42.2	1	103	3.2
23749	33.2	-41.9	1	100	3.6
23770	33.1	-42.1	1	96	4.0
23811	32.9	-42.2	1	91	4.6
23831	32.8	-42.4	1	87	5.2
23852	32.7	-42.5	1	84	5.9
23873	32.6	-41.9	1	82	6.4
23914	32.4	-42.2	1	81	6.8
23935	32.3	-42.2	1	82	6.9
23977	32.1	-41.8	1	83	6.8
23998	32.0	-41.6	1	84	6.6
24020	31.9	-41.9	1	86	6.4
24041	31.8	-42.1	1	89	6.1
24083	31.6	-42.4	1	93	5.8
24105	31.5	-42.3	1	98	5.5
24126	31.4	-42.2	1	102	5.3
24148	31.3	-42.3	1	106	5.0
24170	31.2	-42.5	1	109	4.7
24213	31.0	-42.6	1	110	4.3
24235	30.9	-42.6	1	110	4.1
24257	30.8	-42.5	1	110	4.0
24279	30.7	-42.7	1	110	4.0
24301	30.6	-42.7	1	111	4.1
24345	30.4	-42.8	1	113	4.1
24367	30.3	-43.0	1	114	4.0
24390	30.2	-43.1	1	114	3.8
24412	30.1	-43.1	1	112	3.5
24457	29.9	-42.9	1	107	3.2
24479	29.8	-42.9	1	101	2.9
24502	29.7	-43.1	1	95	2.8
24525	29.6	-43.1	1	91	2.8
24548	29.5	-43.2	1	90	3.0
24593	29.3	-43.1	1	90	3.2
24617	29.2	-43.2	1	91	3.3
24640	29.1	-43.4	1	91	3.4
24663	29.0	-43.4	1	91	3.4
24686	28.9	-42.9	1	91	3.2
24709	28.8	-43.0	1	90	3.0
24756	28.6	-43.2	1	89	2.7
24780	28.5	-43.4	1	88	2.6
24804	28.4	-43.4	1	88	2.7
24827	28.3	-43.5	1	89	2.9
24851	28.2	-43.5	1	91	3.4
24875	28.1	-43.4	1	93	3.9
24899	28.0	-43.8	1	95	4.3
24947	27.8	-43.6	1	97	4.5
24972	27.7	-43.6	1	99	4.6
24996	27.6	-43.0	1	101	4.5
25020	27.5	-43.2	1	103	4.2
25045	27.4	-43.3	1	105	4.0
25070	27.3	-43.0	1	107	3.7
25094	27.2	-43.2	1	109	3.5
25119	27.1	-43.5	1	110	3.4
25169	26.9	-43.5	1	110	3.1
25194	26.8	-43.2	1	108	2.9
25219	26.7	-43.2	1	106	2.6
25244	26.6	-43.4	1	102	2.3
25270	26.5	-43.5	1	98	2.0
25295	26.4	-43.4	1	94	1.8
25321	26.3	-43.5	1	91	1.7
25346	26.2	-43.2	1	88	1.6
25372	26.1	-42.8	1	87	1.5
25398	26.0	-43.1	1	88	1.5
25424	25.9	-43.4	1	91	1.5
25450	25.8	-43.4	1	97	1.6
25476	25.7	-43.2	1	103	1.7
25502	25.6	-43.3	1	109	1.9
25555	25.4	-43.2	1	116	2.0
25582	25.3	-43.0	1	122	2.2
25609	25.2	-43.3	1	126	2.3
25635	25.1	-43.2	1	129	2.5
25662	25.0	-43.3	1	129	2.5
25689	24.9	-43.4	1	124	2.5
25716	24.8	-43.0	1	106	2.7
25744	24.7	-43.1	1	96	2.8
25771	24.6	-42.6	1	87	3.0
25798	24.5	-43.0	1	80	3.1
25826	24.4	-43.1	1	75	3.1
25854	24.3	-42.7	1	70	3.0
25882	24.2	-42.6	1	67	3.0
25909	24.1	-42.8	1	67	3.0
25938	24.0	-42.8	1	68	3.1
25966	23.9	-42.6	1	70	3.3
25994	23.8	-42.3	1	74	3.7
26023	23.7	-42.4	1	77	4.1
26051	23.6	-42.6	1	80	4.5
26080	23.5	-42.1	1	82	4.8
26109	23.4	-41.5	1	83	5.1
26138	23.3	-41.2	1	84	5.4
26167	23.2	-41.4	1	85	5.7
26196	23.1	-41.6	1	85	5.9
26255	22.9	-41.5	1	88	6.3
26285	22.8	-41.7	1	92	6.8
26315	22.7	-41.8	1	93	7.0
26345	22.6	-42.2	1	95	7.1
26375	22.5	-42.5	1	97	7.2
26405	22.4	-41.8	1	97	7.1
26435	22.3	-41.8	1	98	6.9
26466	22.2	-42.1	1	97	6.6
26496	22.1	-42.4	1	95	6.1
26527	22.0	-42.5	1	93	5.8
26558	21.9	-42.6	1	88	6.1
26589	21.8	-42.2	1	87	6.6
26620	21.7	-42.4	1	87	7.3
26651	21.6	-42.6	1	88	7.9
26682	21.5	-42.6	1	89	8.4
26714	21.4	-42.8	1	90	8.7
26745	21.3	-42.6	1	92	8.7
26777	21.2	-42.5	1	94	8.6
26809	21.1	-42.3	1	97	8.3
26841	21.0	-41.9	1	103	7.7
26874	20.9	-42.2	1	105	7.6
26906	20.8	-41.9	1	106	7.6
26939	20.7	-41.8	1	105	7.6
26971	20.6	-42.1	1	104	7.6
27004	20.5	-42.5	1	103	7.3
27037	20.4	-42.6	1	103	6.8
